"","corpusngram1","n"
"36861","brownish",2
"36862","brownstein",2
"36863","browns’",2
"36864","broyles",2
"36865","brrrr",2
"36866","bruckheimer",2
"36867","bruell",2
"36868","brumfield",2
"36869","brunches",2
"36870","brunei",2
"36871","brunos",2
"36872","brunswick’",2
"36873","brunt",2
"36874","brutish",2
"36875","bryn",2
"36876","bso",2
"36877","bu",2
"36878","bubbas",2
"36879","bubbled",2
"36880","bucharest",2
"36881","bucking",2
"36882","buckles",2
"36883","buckling",2
"36884","buckminster",2
"36885","buckyballs",2
"36886","budapest",2
"36887","buddhists",2
"36888","budget-conscious",2
"36889","buggers",2
"36890","buggin",2
"36891","buildcentral",2
"36892","builder’",2
"36893","bulge",2
"36894","bulgin",2
"36895","bulgur",2
"36896","bulimia",2
"36897","bulimic",2
"36898","bulkley",2
"36899","bullard",2
"36900","bulldoze",2
"36901","bulldozer",2
"36902","buller",2
"36903","bullhorn",2
"36904","bulls-eyes",2
"36905","bullshitty",2
"36906","bulwarks",2
"36907","bumble",2
"36908","bumming",2
"36909","bunching",2
"36910","bundling",2
"36911","bungalow",2
"36912","bunkers",2
"36913","bunks",2
"36914","bunnymen",2
"36915","bunts",2
"36916","buono",2
"36917","buoyancy",2
"36918","buoys",2
"36919","burdick",2
"36920","bureaucracies",2
"36921","buri",2
"36922","burkhart",2
"36923","burned-out",2
"36924","burney",2
"36925","burnham",2
"36926","burnin",2
"36927","burniski",2
"36928","burnley",2
"36929","burqa",2
"36930","burqas",2
"36931","burra",2
"36932","burrata",2
"36933","burrells",2
"36934","burriss",2
"36935","burrs",2
"36936","burstyn",2
"36937","burtons",2
"36938","burzichelli",2
"36939","buscaino",2
"36940","bushel",2
"36941","bushy",2
"36942","bush’",2
"36943","businesss",2
"36944","businesswoman",2
"36945","busta",2
"36946","busts",2
"36947","busty",2
"36948","butch",2
"36949","butera",2
"36950","buti",2
"36951","butler’",2
"36952","buttercups",2
"36953","butterick",2
"36954","buttering",2
"36955","butteroil",2
"36956","butthole",2
"36957","buttler",2
"36958","buttock",2
"36959","button-up",2
"36960","buttoned",2
"36961","button”",2
"36962","buttress",2
"36963","but�well",2
"36964","buut",2
"36965","buyback",2
"36966","buy”",2
"36967","buzzword",2
"36968","bv13",2
"36969","bval",2
"36970","bwa",2
"36971","by-election",2
"36972","by-elections",2
"36973","by-product",2
"36974","byc",2
"36975","bylaws",2
"36976","bynes",2
"36977","byproducts",2
"36978","bystanders",2
"36979","byzantium",2
"36980","c10",2
"36981","c4",2
"36982","caa",2
"36983","caballero",2
"36984","cabana",2
"36985","cabbages",2
"36986","cabbie",2
"36987","cabi",2
"36988","cabinetry",2
"36989","cablesatellite",2
"36990","cabral",2
"36991","cachet",2
"36992","cacheta",2
"36993","cacique",2
"36994","cacophony",2
"36995","cad",2
"36996","cadaver",2
"36997","cade",2
"36998","cadets",2
"36999","cadillacs",2
"37000","cady",2
"37001","caen",2
"37002","caesarean",2
"37003","caf",2
"37004","caffe",2
"37005","caf�s",2
"37006","cagen",2
"37007","cagle",2
"37008","cagley",2
"37009","cagliero",2
"37010","cahaba",2
"37011","cahills",2
"37012","cai",2
"37013","caint",2
"37014","cain’",2
"37015","cair",2
"37016","cairns",2
"37017","cairos",2
"37018","cajoling",2
"37019","caked",2
"37020","cala",2
"37021","calamities",2
"37022","calamity",2
"37023","calbert",2
"37024","calcaterra",2
"37025","calculator",2
"37026","calibrated",2
"37027","calibration",2
"37028","calico",2
"37029","califbased",2
"37030","californian",2
"37031","caliphate",2
"37032","call-bell",2
"37033","callahans",2
"37034","calligraphy",2
"37035","callimachi",2
"37036","calorie-laden",2
"37037","calorific",2
"37038","calpers",2
"37039","cals",2
"37040","calumet",2
"37041","calvino",2
"37042","camas",2
"37043","cambio",2
"37044","cambridgeshire",2
"37045","camellia",2
"37046","camerons",2
"37047","cameroon",2
"37048","camisole",2
"37049","camouflage",2
"37050","campaign”",2
"37051","campana",2
"37052","campbell’",2
"37053","campfire",2
"37054","campion",2
"37055","campy",2
"37056","camus",2
"37057","can-do",2
"37058","canarsie",2
"37059","canby",2
"37060","cancelling",2
"37061","cancels",2
"37062","cand",2
"37063","candace",2
"37064","candi",2
"37065","candida",2
"37066","candidate’",2
"37067","candidly",2
"37068","candlesticks",2
"37069","candyswipe",2
"37070","canines",2
"37071","caniparoli",2
"37072","caniparolis",2
"37073","cannibal",2
"37074","cannibalism",2
"37075","cannibalistic",2
"37076","cannibal’",2
"37077","canoeing",2
"37078","cantankerous",2
"37079","canvassed",2
"37080","canvassers",2
"37081","canyonlands",2
"37082","can�",2
"37083","can’t”",2
"37084","caouette",2
"37085","cap-and-trade",2
"37086","capa",2
"37087","capacitor",2
"37088","capacitors",2
"37089","capacity”",2
"37090","capaldi",2
"37091","capitalizes",2
"37092","capitalizing",2
"37093","capitan",2
"37094","capitulation",2
"37095","capn",2
"37096","capo",2
"37097","capper",2
"37098","caprice",2
"37099","capris",2
"37100","capsized",2
"37101","capsule",2
"37102","capsules",2
"37103","captcha",2
"37104","captivate",2
"37105","car2go",2
"37106","caracole",2
"37107","caramelize",2
"37108","caravanning",2
"37109","carbonate",2
"37110","carbonated",2
"37111","cardiology",2
"37112","cardiomyopathy",2
"37113","card”",2
"37114","careened",2
"37115","career”",2
"37116","carefirst",2
"37117","carelessness",2
"37118","caremark",2
"37119","carers",2
"37120","caress",2
"37121","caretakers",2
"37122","care”",2
"37123","cargile",2
"37124","caricature",2
"37125","carissa",2
"37126","carleton",2
"37127","carlin",2
"37128","carlsbad",2
"37129","carlsons",2
"37130","carmels",2
"37131","carmody",2
"37132","carmonas",2
"37133","carnal",2
"37134","carnatic",2
"37135","carnation",2
"37136","carnaval",2
"37137","carnivals",2
"37138","carnivore",2
"37139","carolers",2
"37140","carona",2
"37141","carotene",2
"37142","carpaccio",2
"37143","carpal",2
"37144","carpathia",2
"37145","carpathian",2
"37146","carpeted",2
"37147","carrasco",2
"37148","carribean",2
"37149","carrillo",2
"37150","carruth",2
"37151","carryover",2
"37152","cartagena",2
"37153","carteret",2
"37154","cartoonish",2
"37155","cartoonist",2
"37156","carver",2
"37157","car”",2
"37158","casagrande",2
"37159","caseworker",2
"37160","caseworkers",2
"37161","cashless",2
"37162","cashman",2
"37163","cashner",2
"37164","cashouts",2
"37165","casillas",2
"37166","casimir",2
"37167","caspian",2
"37168","cassava",2
"37169","casselberry",2
"37170","cassell",2
"37171","cassells",2
"37172","cassia",2
"37173","cassis",2
"37174","casson",2
"37175","cassoulet",2
"37176","cassville",2
"37177","cast-iron",2
"37178","castagna",2
"37179","castano",2
"37180","castaway",2
"37181","castaways",2
"37182","caste",2
"37183","castleton",2
"37184","castrate",2
"37185","castros",2
"37186","catalogs",2
"37187","catalogues",2
"37188","catamaran",2
"37189","catch-22",2
"37190","catchall",2
"37191","catchin",2
"37192","catchphrase",2
"37193","categorically",2
"37194","cates",2
"37195","catfish",2
"37196","catherwood",2
"37197","catheterization",2
"37198","catrice",2
"37199","catskills",2
"37200","caulfield",2
"37201","caulk",2
"37202","causa",2
"37203","causal",2
"37204","cause”",2
"37205","cavalcade",2
"37206","cavanal",2
"37207","cavanaugh",2
"37208","cavendish",2
"37209","cavern",2
"37210","cavity",2
"37211","cavorting",2
"37212","cawdor",2
"37213","cbi",2
"37214","cbssportscom",2
"37215","ccm",2
"37216","ccr",2
"37217","cdot",2
"37218","cdr",2
"37219","cd’",2
"37220","cease-fire",2
"37221","ceaselessly",2
"37222","cece",2
"37223","cecelia",2
"37224","cede",2
"37225","ceded",2
"37226","ceelo",2
"37227","cele",2
"37228","celebrants",2
"37229","celebrezze",2
"37230","celebritys",2
"37231","celeriac",2
"37232","celerity",2
"37233","celtics’",2
"37234","cemara",2
"37235","censor",2
"37236","censored",2
"37237","centenary",2
"37238","centene",2
"37239","center-fielder",2
"37240","center-ice",2
"37241","center-left",2
"37242","center-line",2
"37243","centimeter",2
"37244","centralia",2
"37245","centralize",2
"37246","centrists",2
"37247","centrowitz",2
"37248","centuries-old",2
"37249","ceramic",2
"37250","ceremoniously",2
"37251","cerise",2
"37252","cerritos",2
"37253","cersei",2
"37254","cert",2
"37255","cessation",2
"37256","cesspool",2
"37257","cest",2
"37258","cfd",2
"37259","cfl",2
"37260","cgi",2
"37261","cha-cha",2
"37262","chabala",2
"37263","chabon",2
"37264","chace",2
"37265","chachi",2
"37266","chacin",2
"37267","chaffee",2
"37268","chaganti",2
"37269","chainsaws",2
"37270","chain’",2
"37271","chairlifts",2
"37272","chaise",2
"37273","chaiten",2
"37274","challah",2
"37275","chalmers",2
"37276","chambray",2
"37277","chameleon",2
"37278","chameleons",2
"37279","chamomile",2
"37280","chandigarh",2
"37281","chandler’",2
"37282","chandra",2
"37283","chanels",2
"37284","changs",2
"37285","channa",2
"37286","chanson",2
"37287","chanti",2
"37288","chao",2
"37289","chapin",2
"37290","chara",2
"37291","characterisations",2
"37292","characterises",2
"37293","charade",2
"37294","charitys",2
"37295","charlatans",2
"37296","charlene",2
"37297","charleroi",2
"37298","charley",2
"37299","charmer",2
"37300","chartraw",2
"37301","chartreuse",2
"37302","chauffeurs",2
"37303","chaussons",2
"37304","chauvinism",2
"37305","check-ins",2
"37306","checkbook",2
"37307","checkem",2
"37308","checker",2
"37309","checkerboards",2
"37310","checklists",2
"37311","cheekbones",2
"37312","cheerfulness",2
"37313","cheerio",2
"37314","cheeseburgers",2
"37315","cheetah",2
"37316","cheetahs",2
"37317","chef-partner",2
"37318","chelios",2
"37319","chemists",2
"37320","cheo",2
"37321","cher",2
"37322","cherie",2
"37323","chesnut",2
"37324","chesterton",2
"37325","chevelle",2
"37326","chex",2
"37327","chez",2
"37328","chicagoland",2
"37329","chicano",2
"37330","chick-fil-a",2
"37331","chick-flick",2
"37332","chickens’",2
"37333","chick”",2
"37334","chico",2
"37335","chicories",2
"37336","chics",2
"37337","chiddy",2
"37338","chided",2
"37339","chie",2
"37340","chieftains",2
"37341","chiffon",2
"37342","chihuahuas",2
"37343","childbirth",2
"37344","childishly",2
"37345","child�",2
"37346","chillis",2
"37347","chime",2
"37348","chimera",2
"37349","chiming",2
"37350","chimpanzee",2
"37351","chimpanzees",2
"37352","chinchilla",2
"37353","chinos",2
"37354","chipolte",2
"37355","chippewa",2
"37356","chippy",2
"37357","chipwrecked",2
"37358","chip”",2
"37359","chirp",2
"37360","chisel",2
"37361","chiseled",2
"37362","chisenhall",2
"37363","chishti",2
"37364","chit-chat",2
"37365","chivalry",2
"37366","chizuru",2
"37367","chloral",2
"37368","chloride",2
"37369","chocolate-covered",2
"37370","chocolatey",2
"37371","chodesh",2
"37372","choker",2
"37373","chomp",2
"37374","choo-choo",2
"37375","choosy",2
"37376","chopper",2
"37377","choudhry",2
"37378","choy",2
"37379","chriss",2
"37380","christchurch",2
"37381","christen",2
"37382","christiana’",2
"37383","christiane",2
"37384","christianity’",2
"37385","christinas",2
"37386","christman",2
"37387","christo",2
"37388","chromosomes",2
"37389","chronically",2
"37390","chronologically",2
"37391","chrysler�",2
"37392","chucked",2
"37393","chuckling",2
"37394","chucky",2
"37395","chukar",2
"37396","chula",2
"37397","chummy",2
"37398","chums",2
"37399","churchyard",2
"37400","church”",2
"37401","churn",2
"37402","chutneys",2
"37403","ci",2
"37404","ciabatta",2
"37405","cicadas",2
"37406","cicero",2
"37407","cichon",2
"37408","cig",2
"37409","cigna",2
"37410","cigs",2
"37411","cilaos",2
"37412","cincinnati-based",2
"37413","cinderella’",2
"37414","cinelli",2
"37415","cinna",2
"37416","cipla",2
"37417","circumcision",2
"37418","circumference",2
"37419","circumspect",2
"37420","circumstances”",2
"37421","ciroc",2
"37422","cistern",2
"37423","cit",2
"37424","citizenry",2
"37425","citrix",2
"37426","citron",2
"37427","city-owned",2
"37428","city-states",2
"37429","cityarts",2
"37430","city�",2
"37431","ciudad",2
"37432","civics",2
"37433","civil-rights",2
"37434","civilians”",2
"37435","cl",2
"37436","cladding",2
"37437","claibornes",2
"37438","claimants",2
"37439","clairmont",2
"37440","clank",2
"37441","clara-based",2
"37442","claridge’",2
"37443","clarifications",2
"37444","clarion",2
"37445","clarkston",2
"37446","clarksville",2
"37447","clark’",2
"37448","clasp",2
"37449","classically",2
"37450","classier",2
"37451","classifying",2
"37452","claudio",2
"37453","claudius",2
"37454","claw-foot",2
"37455","clays",2
"37456","claytons",2
"37457","cle",2
"37458","clean-lined",2
"37459","clearest",2
"37460","clear”",2
"37461","cleat",2
"37462","cleavage",2
"37463","cleaver",2
"37464","clemmensen",2
"37465","clerkenwell",2
"37466","cleveland’",2
"37467","clevenger",2
"37468","clevenger’",2
"37469","clevis",2
"37470","click-through",2
"37471","clickable",2
"37472","clickner",2
"37473","clicks",2
"37474","cliental",2
"37475","cliffhanger",2
"37476","climber",2
"37477","climes",2
"37478","clinching",2
"37479","clingy",2
"37480","clipboard",2
"37481","cllr",2
"37482","clocked",2
"37483","clocking",2
"37484","clojure",2
"37485","cloke",2
"37486","cloning",2
"37487","clooneys",2
"37488","close-call",2
"37489","close-knit",2
"37490","closeness",2
"37491","closeted",2
"37492","close”",2
"37493","clothe",2
"37494","clouding",2
"37495","cloudless",2
"37496","cloward",2
"37497","clowning",2
"37498","clubbed",2
"37499","clubbing",2
"37500","clucked",2
"37501","cluelessness",2
"37502","clue”",2
"37503","clumping",2
"37504","clusterfuck",2
"37505","clyne",2
"37506","cl�mence",2
"37507","cmha",2
"37508","cmu",2
"37509","cnt",2
"37510","co-creator",2
"37511","co-defendants",2
"37512","co-founded",2
"37513","co-host",2
"37514","co-hosted",2
"37515","co-hosts",2
"37516","co-labor",2
"37517","co-leader",2
"37518","co-operates",2
"37519","co-operating",2
"37520","co-ops",2
"37521","co-ordinating",2
"37522","co-own",2
"37523","co-owned",2
"37524","co-producer",2
"37525","co-screenwriter",2
"37526","co-sponsor",2
"37527","co-writing",2
"37528","co-written",2
"37529","coady",2
"37530","coah",2
"37531","coale",2
"37532","coalescing",2
"37533","coarseness",2
"37534","coates",2
"37535","coauthor",2
"37536","coaxes",2
"37537","coaxing",2
"37538","cobblestone",2
"37539","cobb’",2
"37540","cochineal",2
"37541","cockeysville",2
"37542","cockpit",2
"37543","cocks",2
"37544","coded",2
"37545","codeine",2
"37546","codey",2
"37547","coen",2
"37548","cofee",2
"37549","coffeehouse",2
"37550","coffins",2
"37551","coffman",2
"37552","cofp",2
"37553","coho",2
"37554","cohost",2
"37555","coils",2
"37556","coinciding",2
"37557","coinsurance",2
"37558","cokes",2
"37559","colander",2
"37560","cold-case",2
"37561","coldly",2
"37562","colgate",2
"37563","colicchio",2
"37564","collaborates",2
"37565","collado",2
"37566","collaged",2
"37567","collapsible",2
"37568","collate",2
"37569","collectibles",2
"37570","college-age",2
"37571","collierville",2
"37572","collusion",2
"37573","colman",2
"37574","colonials",2
"37575","colonist",2
"37576","colonize",2
"37577","colonoscopy",2
"37578","colons",2
"37579","color-coded",2
"37580","colorfully",2
"37581","colorway",2
"37582","colosseum",2
"37583","columnists",2
"37584","colusa",2
"37585","colville",2
"37586","comatose",2
"37587","combative",2
"37588","comcasts",2
"37589","comdirect",2
"37590","comer",2
"37591","comers",2
"37592","come”",2
"37593","comfort-food",2
"37594","comforted",2
"37595","comic-book",2
"37596","comicon",2
"37597","comintern’",2
"37598","comm-works",2
"37599","commandant",2
"37600","commandeer",2
"37601","commandeered",2
"37602","commander-in-chief",2
"37603","commencing",2
"37604","commentaries",2
"37605","commercialization",2
"37606","committment",2
"37607","commodification",2
"37608","communicator",2
"37609","community-building",2
"37610","community-oriented",2
"37611","compacts",2
"37612","company-funded",2
"37613","company-owned",2
"37614","compels",2
"37615","compensations",2
"37616","competes",2
"37617","complementarity",2
"37618","complements",2
"37619","complexes",2
"37620","complicates",2
"37621","complicating",2
"37622","complicity",2
"37623","complies",2
"37624","compose",2
"37625","comprehending",2
"37626","compressor",2
"37627","comptrollers",2
"37628","compulsions",2
"37629","compute",2
"37630","computed",2
"37631","comrade",2
"37632","concannon",2
"37633","concealed-carry",2
"37634","concedes",2
"37635","conceding",2
"37636","conceptions",2
"37637","conceptualize",2
"37638","concern”",2
"37639","concertos",2
"37640","concessionaires",2
"37641","concierge",2
"37642","conclusive",2
"37643","concordia",2
"37644","conditioners",2
"37645","condom",2
"37646","conductors",2
"37647","conduct”",2
"37648","confectionery",2
"37649","confederates",2
"37650","conferon",2
"37651","confessional",2
"37652","confiding",2
"37653","configurations",2
"37654","confining",2
"37655","conflation",2
"37656","conformed",2
"37657","confraternity",2
"37658","confusingly",2
"37659","congested",2
"37660","congratulating",2
"37661","congregate",2
"37662","congregated",2
"37663","conical",2
"37664","conlogue",2
"37665","connally",2
"37666","connecticut’",2
"37667","connell",2
"37668","connell’",2
"37669","connick",2
"37670","conour",2
"37671","conquistadors",2
"37672","consciences",2
"37673","consciousness”",2
"37674","consecrated",2
"37675","consecutively",2
"37676","consenting",2
"37677","consigned",2
"37678","consortia",2
"37679","constance",2
"37680","constantinople",2
"37681","consternation",2
"37682","constitutionally",2
"37683","constitutive",2
"37684","constrain",2
"37685","constrict",2
"37686","constricting",2
"37687","consults",2
"37688","consumer-finance",2
"37689","contemplates",2
"37690","contented",2
"37691","contesting",2
"37692","contingency",2
"37693","contorted",2
"37694","contorting",2
"37695","contour",2
"37696","contraceptive",2
"37697","contractually",2
"37698","contract”",2
"37699","contradicting",2
"37700","contravention",2
"37701","contrivance",2
"37702","contrivances",2
"37703","controversially",2
"37704","conv",2
"37705","convalescing",2
"37706","convenes",2
"37707","convention-booking",2
"37708","conversation”",2
"37709","converted”",2
"37710","convos",2
"37711","convoy",2
"37712","cooing",2
"37713","cookers",2
"37714","cookie-cutter",2
"37715","cookout",2
"37716","coolers",2
"37717","cooley",2
"37718","coolness",2
"37719","cooperates",2
"37720","cooperatives",2
"37721","coopers",2
"37722","coot",2
"37723","coots",2
"37724","cop-out",2
"37725","copas",2
"37726","copes",2
"37727","copier",2
"37728","copley",2
"37729","coppersmiths",2
"37730","copycat",2
"37731","copywriter",2
"37732","copywriting",2
"37733","coq",2
"37734","corals",2
"37735","corbeau",2
"37736","corbitt",2
"37737","corchiani",2
"37738","cordes",2
"37739","cordrays",2
"37740","cores",2
"37741","coretta",2
"37742","corked",2
"37743","corkscrew",2
"37744","corky",2
"37745","cormier",2
"37746","cornel",2
"37747","cornelia",2
"37748","cornfield",2
"37749","cornflower",2
"37750","cornflowers",2
"37751","corniel",2
"37752","cornstarch",2
"37753","cornucopia",2
"37754","corollary",2
"37755","corporatism",2
"37756","corporatist",2
"37757","correa",2
"37758","correctness",2
"37759","corrie’",2
"37760","corrugated",2
"37761","corrupted",2
"37762","corsair",2
"37763","corset",2
"37764","corsos",2
"37765","cortland",2
"37766","corwin",2
"37767","corzine’",2
"37768","coscia",2
"37769","cosey",2
"37770","cosi",2
"37771","cost-of-living",2
"37772","costanzo",2
"37773","costner",2
"37774","costuming",2
"37775","cost”",2
"37776","cotten",2
"37777","cottrell",2
"37778","coughlan",2
"37779","couldn�",2
"37780","could”",2
"37781","coulson",2
"37782","councillor",2
"37783","councilmembers",2
"37784","counter-tenor",2
"37785","counterbalance",2
"37786","counterrevolution",2
"37787","countersuit",2
"37788","county-owned",2
"37789","count’",2
"37790","couplings",2
"37791","courant",2
"37792","couric",2
"37793","couriers",2
"37794","course”",2
"37795","coursing",2
"37796","court-martial",2
"37797","courting",2
"37798","courtneys",2
"37799","courtrooms",2
"37800","courtyards",2
"37801","court�",2
"37802","cous",2
"37803","coutinho",2
"37804","couzens",2
"37805","coverages",2
"37806","coverup",2
"37807","covet",2
"37808","covey",2
"37809","coward",2
"37810","cowardice",2
"37811","cowards",2
"37812","cowboy”",2
"37813","cowgirl",2
"37814","cowie",2
"37815","cowling",2
"37816","cowrote",2
"37817","cow”",2
"37818","cow’",2
"37819","cox-perry",2
"37820","coz",2
"37821","cpi",2
"37822","cpn",2
"37823","cpuc",2
"37824","crabby",2
"37825","crabtree",2
"37826","crackdowns",2
"37827","crackled",2
"37828","crackly",2
"37829","crafter’",2
"37830","craftsmanship",2
"37831","craftspeople",2
"37832","craigs",2
"37833","cranmer",2
"37834","cranstons",2
"37835","crashers",2
"37836","crass",2
"37837","cratered",2
"37838","crates",2
"37839","craved",2
"37840","cravens",2
"37841","craver",2
"37842","crayfish",2
"37843","crazes",2
"37844","craziest",2
"37845","crazy”",2
"37846","cream-colored",2
"37847","creativegranny",2
"37848","credentials”",2
"37849","credibly",2
"37850","credo",2
"37851","credulity",2
"37852","credulous",2
"37853","creedence",2
"37854","creepily",2
"37855","creepiness",2
"37856","creighton",2
"37857","cremated",2
"37858","cremation",2
"37859","cressida",2
"37860","crestmoor",2
"37861","crestview",2
"37862","crestwood",2
"37863","cretin",2
"37864","creuset",2
"37865","criers",2
"37866","crime-fighting",2
"37867","crimean",2
"37868","criminalization",2
"37869","cringe-worthy",2
"37870","crinkle",2
"37871","crinkly",2
"37872","cripple",2
"37873","crisscross",2
"37874","crissy",2
"37875","criticizes",2
"37876","critic’",2
"37877","crm",2
"37878","croatia",2
"37879","croce",2
"37880","crocheted",2
"37881","crocheting",2
"37882","crockam",2
"37883","crockett",2
"37884","cromer",2
"37885","cronies",2
"37886","crooner",2
"37887","cropper",2
"37888","croquet",2
"37889","croquettes",2
"37890","crosbys",2
"37891","cross-match",2
"37892","cross-pollination",2
"37893","cross-stitch",2
"37894","crossan",2
"37895","crossbar",2
"37896","crossman",2
"37897","crossovers",2
"37898","crostini",2
"37899","crotchety",2
"37900","crotinger",2
"37901","crowbar",2
"37902","crowd-funding",2
"37903","crowed",2
"37904","crowes",2
"37905","crownsville",2
"37906","croydon",2
"37907","cru",2
"37908","cruciate",2
"37909","crucifix",2
"37910","crucifixion",2
"37911","crud",2
"37912","crue",2
"37913","crumpets",2
"37914","crunched",2
"37915","crunchers",2
"37916","crunching",2
"37917","crustaceans",2
"37918","cryons",2
"37919","crypts",2
"37920","csa",2
"37921","csiro",2
"37922","csus",2
"37923","cuccinelli",2
"37924","cuckoos",2
"37925","cuddled",2
"37926","cufon",2
"37927","culantro",2
"37928","culbreath",2
"37929","culver",2
"37930","cumbria",2
"37931","cunningly",2
"37932","cunts",2
"37933","cupola",2
"37934","cuppa",2
"37935","cupped",2
"37936","curacao",2
"37937","curating",2
"37938","curation",2
"37939","curbed",2
"37940","curbside",2
"37941","curing",2
"37942","curiosities",2
"37943","curiouser",2
"37944","currantc�",2
"37945","currie",2
"37946","curse”",2
"37947","cursive",2
"37948","cursor",2
"37949","curtailing",2
"37950","curveball",2
"37951","curving",2
"37952","cushing’",2
"37953","cushioned",2
"37954","cushman",2
"37955","custodian",2
"37956","custom-built",2
"37957","customarily",2
"37958","customers’",2
"37959","customizable",2
"37960","cute”",2
"37961","cutlers",2
"37962","cutlery",2
"37963","cutlets",2
"37964","cuts”",2
"37965","cuttings",2
"37966","cuvee",2
"37967","cuzco",2
"37968","cuzz",2
"37969","cuzzo",2
"37970","cv",2
"37971","cvb",2
"37972","cvcs",2
"37973","cwa",2
"37974","cwmg",2
"37975","cwru",2
"37976","cx",2
"37977","cya",2
"37978","cyber-bullying",2
"37979","cyberpunk",2
"37980","cyberspace",2
"37981","cybils",2
"37982","cyborgs",2
"37983","cyclone",2
"37984","cyclops",2
"37985","cygnus",2
"37986","cymbals",2
"37987","cynics",2
"37988","czar",2
"37989","czechoslovakia",2
"37990","czubay",2
"37991","c�te",2
"37992","d1",2
"37993","d3",2
"37994","d4",2
"37995","d80",2
"37996","dabbled",2
"37997","dada",2
"37998","dae",2
"37999","daedalus",2
"38000","daemon",2
"38001","daffodil",2
"38002","dag",2
"38003","dagenham",2
"38004","dagon",2
"38005","dahling",2
"38006","dai",2
"38007","daily”",2
"38008","daioh",2
"38009","dais",2
"38010","daiya",2
"38011","dalcha",2
"38012","dalembert",2
"38013","daleys",2
"38014","dalit",2
"38015","dallas-based",2
"38016","dalys",2
"38017","damato",2
"38018","dambrosio",2
"38019","dames",2
"38020","damien",2
"38021","damni",2
"38022","dampener",2
"38023","damsel",2
"38024","dancefloor",2
"38025","dancemoms",2
"38026","dancin",2
"38027","dandenault",2
"38028","dander",2
"38029","dandruff",2
"38030","dangelo",2
"38031","daniela",2
"38032","danielsons",2
"38033","danika",2
"38034","danko",2
"38035","dannel",2
"38036","dannenberg",2
"38037","dannys",2
"38038","dantoni",2
"38039","danville",2
"38040","danyelle",2
"38041","daphnis",2
"38042","dappled",2
"38043","dara",2
"38044","darden",2
"38045","dario",2
"38046","darius",2
"38047","dark-colored",2
"38048","dark-wood",2
"38049","darkness”",2
"38050","darley",2
"38051","darlin",2
"38052","darlings",2
"38053","dartmouth",2
"38054","darwinian",2
"38055","dashed",2
"38056","dashwood",2
"38057","dataset",2
"38058","dateline",2
"38059","dathan",2
"38060","datz",2
"38061","daughters’",2
"38062","daunted",2
"38063","davidoff",2
"38064","davids",2
"38065","davinci",2
"38066","dawdle",2
"38067","dawns",2
"38068","day-night",2
"38069","day3",2
"38070","daya",2
"38071","dayand",2
"38072","daydreams",2
"38073","daygood",2
"38074","dayi",2
"38075","daymut",2
"38076","daynow",2
"38077","daysi",2
"38078","days�",2
"38079","days”",2
"38080","daytona500",2
"38081","dazs",2
"38082","dazur",2
"38083","dazzles",2
"38084","dbacks",2
"38085","dca",2
"38086","dc–",2
"38087","ddd",2
"38088","ddr",2
"38089","deactivate",2
"38090","deadlocked",2
"38091","deadpanned",2
"38092","dead”",2
"38093","deane",2
"38094","deangelis",2
"38095","deason",2
"38096","deasy",2
"38097","deathly",2
"38098","deaton",2
"38099","debora",2
"38100","deborahs",2
"38101","debunk",2
"38102","decades-long",2
"38103","decades-old",2
"38104","decal",2
"38105","decant",2
"38106","decastro",2
"38107","decaying",2
"38108","deceased’",2
"38109","deceided",2
"38110","deceit",2
"38111","deceiver",2
"38112","deceivers",2
"38113","decently",2
"38114","decibel",2
"38115","decibels",2
"38116","decimated",2
"38117","declaratory",2
"38118","decode",2
"38119","decoded",2
"38120","decomposing",2
"38121","decompresses",2
"38122","deconstructing",2
"38123","decries",2
"38124","decriminalized",2
"38125","decrypt",2
"38126","dede",2
"38127","dedrick",2
"38128","deems",2
"38129","deep-seated",2
"38130","deepened",2
"38131","deerhoof",2
"38132","dees",2
"38133","defaulting",2
"38134","defecate",2
"38135","defected",2
"38136","defection",2
"38137","defector",2
"38138","defensive-minded",2
"38139","defibrillator",2
"38140","deficient",2
"38141","definatly",2
"38142","definitively",2
"38143","deflate",2
"38144","deflation",2
"38145","deflected",2
"38146","defoe",2
"38147","deformities",2
"38148","defrauding",2
"38149","defrost",2
"38150","defrosting",2
"38151","degeneration",2
"38152","degenerative",2
"38153","deghetto",2
"38154","degrading",2
"38155","deity",2
"38156","delacorte",2
"38157","delaneys",2
"38158","delany",2
"38159","delegations",2
"38160","deletes",2
"38161","deleuze",2
"38162","delia",2
"38163","deliciousness",2
"38164","delighting",2
"38165","delilah",2
"38166","delis",2
"38167","dells",2
"38168","delmas",2
"38169","delmonicos",2
"38170","delmont",2
"38171","delonte",2
"38172","delphi",2
"38173","delphine",2
"38174","delray",2
"38175","deltufo",2
"38176","delucia",2
"38177","delysia",2
"38178","demarco",2
"38179","demaryius",2
"38180","demaurice",2
"38181","demean",2
"38182","demennos",2
"38183","dement",2
"38184","demented",2
"38185","demerara",2
"38186","demeter",2
"38187","demink",2
"38188","demme",2
"38189","democrat-controlled",2
"38190","democrat-led",2
"38191","democrat”",2
"38192","demographics",2
"38193","demonic",2
"38194","demoralized",2
"38195","demotion",2
"38196","demure",2
"38197","dengs",2
"38198","denham",2
"38199","denier",2
"38200","denny’",2
"38201","denominations",2
"38202","denounce",2
"38203","dente",2
"38204","denya",2
"38205","deodorant",2
"38206","deontic",2
